PID,Code,Generic,INNCode,Concentration,Description,SID,UnitPrice,MarketShare,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,0.69,100.0,0,0,0,0,0,0,0,1,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,0.695,100.0,0,0,0,0,0,0,0,1,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,0.7,100.0,0,0,0,0,0,0,0,1,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,0.705,100.0,0,0,0,0,0,0,0,1,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,0.843,0.0,0,0,0,1,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,0.856,0.0,0,0,0,1,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.003,0.0,1,0,0,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.017,0.0,0,1,1,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.032,0.0,1,0,0,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.057,0.0,1,0,0,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.059,0.0,0,1,1,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.063,0.0,0,1,1,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.067,0.0,1,0,0,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.077,0.0,0,1,1,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.09,0.0,1,0,0,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.092,0.0,1,0,0,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",17.0,1.125,0.0,0,1,1,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",28.0,0.84,0.0,0,1,1,0,0,0,0,0,0
678.0,Am-500-(A)-10,Am-500,Amikacin,500 mg,"Amikacin 500mg/2ml solution for injectable
",28.0,1.032,0.0,1,0,0,0,0,0,0,0,0
